,logFC,logCPM,F,PValue,FDR
EIF2A,-0.24817220087506733,5.924751339970117,8.120553610004746,0.004764695271283995,0.03179400500368879
CHD1,-0.2486913249223427,5.7776257539301685,4.0328642067364,0.04576540234414923,0.16836963803519686
RPL35,-0.2489117543308001,11.905603901180998,106.5419544897894,7.284614666957422e-21,1.798533021194593e-18
RPL8,-0.24902446566397268,11.421571615955305,81.41087104375764,6.476163212398794e-17,8.679909036960784e-15
NMRK1,-0.2491633429184858,5.419872622437838,7.627888173084683,0.006200045515896384,0.0389436675654098
RPS26,-0.2497601883313079,11.287540529655393,6.587253638135502,0.010887523452645183,0.05985562453959639
RORA,-0.24990987589120817,7.470934149290639,18.29621358421263,2.7459773154911925e-05,0.00042096011722121516
PTDSS1,-0.25013426815512146,4.714720298814599,5.337158230580194,0.021714102957769273,0.09775514105076358
RHNO1,-0.25020346450031855,4.472110679024355,5.379572421005955,0.021182261820529315,0.09634813071600934
BEX4,-0.2503220302045881,5.090108405197495,4.894283502442321,0.027894800889146004,0.11683351477491023
PPP1R2,-0.2515252226072136,6.876808055070908,25.135954594798147,1.0487995218855895e-06,2.3540280177824404e-05
SUZ12,-0.25235256021225155,4.87155655773621,4.733527466765755,0.030556245734486166,0.12479918814118184
FOXO3,-0.2525565414190037,4.580980557688415,4.313750511639985,0.03884528432292409,0.1504733515762485
RPL11,-0.2526646225167694,12.533899169826679,88.06404954293896,5.4351369857499805e-18,8.224589548436502e-16
HGSNAT,-0.2529581646459628,4.640592109123034,4.771725364096382,0.02988232595107924,0.12307110714355814
ZBTB20,-0.2532420535746629,5.13053267413421,8.05452567211946,0.00493197971838144,0.032724069107393686
METTL17,-0.2542995339898834,4.84927425160968,6.132106528922431,0.013964442458514886,0.07246371634169617
MAP3K13,-0.25510614129121223,4.5242347863891785,3.922769470248401,0.04874052634626993,0.17628512651530628
RPL36,-0.25514541800741597,11.978295838771583,60.20469976307304,2.547286356890417e-13,1.8967175079639597e-11
RPS3,-0.2553061964878127,12.767822610967862,57.960900757767305,6.343589974766364e-13,4.376144201710149e-11
TNRC6B,-0.2556250516753728,7.38740932243717,16.53985681610249,6.491784157039023e-05,0.000893048665122289
TPD52,-0.2556802587683686,4.911531235625412,5.454255526059753,0.02034481400318338,0.09369488255308454
FAM217B,-0.2559434973115034,4.474895883258874,4.721537751956876,0.030732645882943128,0.12525143712601608
TARSL2,-0.2559517031983232,5.091328645130325,6.057902082175786,0.01455564260426818,0.07421126511934437
RABL2B,-0.25691694025442935,4.425175751663935,4.895159496839094,0.027835567979011103,0.1167948563412711
ZNF302,-0.2571038627386121,4.449300202957526,4.13905550086379,0.04296277804624856,0.1612307134519616
IFNGR1,-0.25710515517388716,5.16996825164772,3.8942632881676658,0.049611166547397646,0.17797220883383838
RPL21,-0.2578523456234135,13.175187027003425,54.208383555528044,2.967463188862414e-12,1.8316276077570504e-10
NDUFV3,-0.2583141494868966,4.999154906515416,6.759347960975253,0.00990771434960362,0.05633080818835108
MT-ND4L,-0.2586324454757961,7.762424107635299,5.31084780831765,0.02206001701517736,0.09846197889457373
RPL38,-0.25865660954180436,11.691018103942762,35.4235490098675,9.4947224206255e-09,3.3999803721491767e-07
TMEM55B,-0.25893047070121894,4.883171797465526,7.327415475541043,0.007278989992969502,0.044402785509778844
ATP2B1,-0.2595780956512203,5.457863926258128,6.868770141858135,0.00934193791852954,0.054035796271050644
CCND2,-0.2601227197786768,5.424869112626731,9.48130387591971,0.0023217664403472906,0.018002324581271305
SYS1,-0.2604264405549549,4.815041059682703,6.108738134228383,0.014143076509770177,0.07306736994199549
FXYD5,-0.26084689081637963,8.921443401430714,38.75360533184926,2.1699548746656162e-09,8.866097826512333e-08
HNRNPH1,-0.26164825977869166,7.765868039344685,5.088465285173778,0.024999758471956228,0.10756640289495441
TOMM7,-0.2620187059716789,10.27994489706271,43.42503895758183,2.831596163837795e-10,1.3151502578775344e-08
UBE2Q2,-0.2622665204240633,5.177300660541629,8.325290835129723,0.004270237770290296,0.02907356368712885
PRKD3,-0.26264445261673747,4.76597699393167,5.38055494755184,0.02119617797887905,0.09634813071600934
CYB5A,-0.2627767454173074,5.050945362704872,7.486075363456755,0.006686048311615141,0.0414323020208542
TMEM106B,-0.2628917492142694,4.534812411331592,3.94372490082744,0.048145468593873364,0.1747204089241813
KLF9,-0.26299806865978587,4.703046792517882,5.201039571298838,0.02343711139119102,0.1032333235080536
SYTL2,-0.2635899157802612,4.9563410411533555,4.133819020939257,0.04313976240253652,0.16155004703344855
CERK,-0.26550701893244544,4.532545481818507,5.272598547077279,0.02249654219413875,0.10012455354146572
ATM,-0.26593235951844385,7.3078903063407505,17.247306187551864,4.585219033794266e-05,0.0006597933278383099
RPS28,-0.26829369018314075,12.610079983081102,69.42970449886637,6.455848085212e-15,5.938114385829312e-13
RGS14,-0.26850577892404354,5.341981121051058,6.581683465673728,0.010922279813663295,0.05985562453959639
KNOP1,-0.2686394658231555,4.546865376363282,4.781293475085247,0.029706827597836553,0.12267141572310851
RPS13,-0.2695535406552641,11.735374915527238,100.12436933754725,6.944893356350998e-20,1.5513568921258347e-17
MT-ND4,-0.2696806195452867,11.768151849874595,73.02200939549896,1.5928818762537014e-15,1.6604908625569139e-13
TSPYL1,-0.2719893292598673,5.3890584894624,5.07773144682851,0.02515399927401065,0.10795737474326073
ZNF83,-0.27214217178810146,5.0152171342335015,6.078198351676152,0.014391206956676355,0.0736195766998569
