,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
203,GSTO1,4.328013,0.3809701,1.5046076719567239e-05,0.00021191657351503156,0.18238852789603405,0.14366725863739102
8,TMSB4X,32.52309,0.37862617,5.029424212791875e-232,1.5088272638375625e-229,1.0,0.9999394575395544
141,EZR,6.581992,0.37715834,4.64186502889961e-11,9.473193936529815e-10,0.30427963253416984,0.24818372618663223
192,ITGA4,4.737487,0.37658992,2.1638500170818844e-06,3.229626891166991e-05,0.2182388527896034,0.17742977074588312
181,C19orf10,5.19257,0.3727257,2.0741071243234228e-07,3.2922335306720998e-06,0.22540891776831729,0.1790644171779141
220,GLIPR1,3.9527879,0.37096122,7.724591758464223e-05,0.001007555446756203,0.17745910822316827,0.14281966419115272
242,CAPNS1,3.5846155,0.37010315,0.0003375752151664446,0.004002868164028988,0.15774142953170514,0.12594849854698095
158,FKBP1A,6.0794816,0.36893943,1.2057166899336791e-09,2.19221216351578e-08,0.28411382478153707,0.23185744268647077
208,IFI6,4.2008457,0.36768475,2.6591997655614893e-05,0.00036594492186625997,0.19605646426170736,0.15934775589279948
121,MATK,7.1164227,0.36728907,1.1076423254247795e-12,2.6164779340742823e-11,0.3295989244902532,0.2672747820471424
170,HERPUD1,5.6580505,0.36487412,1.5310203988300892e-08,2.594949828525575e-07,0.26462021062065877,0.2160356796900226
90,HMGB2,8.780744,0.3594488,1.623980477039569e-18,5.182916416083731e-17,0.44835312570020164,0.3774620600581208
248,MAP3K8,3.4053853,0.35782963,0.0006607077273322324,0.0076529852586745065,0.1492269773694824,0.11860268001291573
145,RAC1,6.466494,0.3545223,1.0030263253670758e-10,1.9927675338418725e-09,0.31727537530808875,0.26277445915402003
246,TKT,3.4397862,0.35191223,0.0005821738435685324,0.006795803621422557,0.15796549406228994,0.12740151759767518
82,CRIP1,9.36027,0.35127148,7.953353592459789e-21,2.7744256717882983e-19,0.5021286130405557,0.4312439457539554
194,PGLS,4.655581,0.3478503,3.230681681665659e-06,4.774406426106885e-05,0.21510194936141608,0.17365595737810785
118,CSTB,7.364193,0.3470188,1.7822202360611202e-13,4.346878624539317e-12,0.37329150795429084,0.313145786244753
76,PPIB,10.122819,0.34450027,4.376251755356395e-24,1.6410944082586479e-22,0.5364104862200314,0.461373910235712
41,OAZ1,16.172812,0.34243268,7.843563875073071e-59,5.472253866330049e-57,0.8740757338113376,0.8148409751372295
172,VAMP5,5.531911,0.33567172,3.16761201246874e-08,5.308846948271632e-07,0.2762715662110688,0.22804326767839844
243,MANF,3.507512,0.33482426,0.00045231759661127166,0.005342333818243366,0.1700649787138696,0.13898530836293188
96,TAGLN2,8.497832,0.33442202,1.931636280439853e-17,5.73753350625699e-16,0.4665023526775711,0.39865192121407816
241,SAMHD1,3.58545,0.33374673,0.00033649767417803463,0.004002868164028988,0.1803719471207708,0.14887391023571198
144,TUBA1B,6.491995,0.32859406,8.470703811091455e-11,1.694140762218291e-09,0.35088505489581,0.29968517920568294
100,GNLY,8.210874,0.32402807,2.1958491512317303e-16,6.273854717804943e-15,0.6892224960788708,0.6465329350984824
40,S100A6,16.178028,0.32216284,7.206481060922076e-59,5.147486472087198e-57,0.9260587049070133,0.8911446561188247
60,S100A10,12.157716,0.32181653,5.219773274966952e-34,2.446768722640759e-32,0.7351557248487565,0.6639893445269616
75,ANXA1,10.146375,0.32175395,3.439004635263864e-24,1.3059511273153913e-22,0.6226753304951826,0.5593719728769777
245,GBP2,3.4602838,0.32042557,0.0005396066052645941,0.006323514905444462,0.17521846291732018,0.14453503390377784
143,H2AFZ,6.5113115,0.31832382,7.449755507564415e-11,1.499950773335117e-09,0.35715886175218464,0.3036608007749435
128,CD247,6.815197,0.3179392,9.41346514551837e-12,2.1074921967578437e-10,0.3932332511763388,0.3407329673877946
130,S100A11,6.782866,0.31735086,1.1781509379990583e-11,2.598862363233217e-10,0.38225408917768317,0.3280997739748143
106,SAT1,7.9750657,0.30921966,1.522997852320795e-15,4.1162104116778246e-14,0.47994622451265967,0.4181264126574104
116,TSPO,7.451154,0.30903706,9.252704200640073e-14,2.294058892720679e-12,0.4203450593771006,0.36139812721989023
129,HSP90B1,6.795921,0.30596998,1.0762285114426701e-11,2.391618914317045e-10,0.38404660542236163,0.32729254116887313
185,RUNX3,4.9357114,0.304072,7.985908734825909e-07,1.2349343404369963e-05,0.2682052431100157,0.2248748789150791
238,REL,3.6886864,0.29962692,0.00022541493061466387,0.002726793515499966,0.1915751736500112,0.15888359702938326
